"","fish_id","Genotype","Position","Trial","Tray","Bin","Distance_travelled","Velocity_mean","Velocity_var","Time_moving","Freq_moving","Acceleration_max","Acceleration_min","Acceleration_mean","Acceleration_var","Freq_in_middle","Time_in_middle","Dist_to_middle_total","Dist_to_middle_mean","Dist_to_middle_var","Mobility_total","Mobility_mean","Mobility_var"
"1",1,"het","A1","5",1,"Start-0:05:00",258.27,0.862047,"8.14797",52.2669,80,440.018,-305.283,-2.21451e-17,"2082.98",12,103.599,5812.95,1.29263,"1.22234",18799.9,4.18334,"220.562"
"2",1,"het","A1","5",1,"0:05:00-0:10:00",801.984,2.67446,"31.9809",175.465,172,1052.73,-813.167,-7.11017e-17,"9801.97",23,81.6686,7071.64,1.57183,"1.66077",51684.2,11.4905,"501.116"
"3",1,"het","A1","5",1,"0:10:00-0:15:00",382.997,1.27722,"15.5992",78.4656,95,619.63,-568.557,0.0105864,"4108.9",16,98.0672,5365.31,1.19256,"1.16358",22923.4,5.09635,"242.249"
"4",1,"het","A1","5",1,"0:15:00-0:20:00",729.249,2.43082,"25.9138",165.666,175,1183.07,-975.592,0.00361145,"8268",21,73.067,6543,1.454,"1.4457",45000.7,10.0001,"404.961"
"5",1,"het","A1","5",1,"0:20:00-0:25:00",328.21,1.09452,"10.9409",72.473,99,892.138,-602.241,-0.0142003,"3193.05",12,57.6003,6337.72,1.4087,"1.05002",19644.3,4.36734,"186.991"
"6",1,"het","A1","5",1,"0:25:00-0:30:00",1159.6,3.86703,"50.0356",226.659,152,1308.62,-1078.34,0.0466958,"15012.6",22,53.8003,8816.09,1.95957,"1.56253",64289.9,14.293,"561.95"
"7",2,"het","A2","5",1,"Start-0:05:00",19.5078,0.0651123,"0.327907",2.46668,3,240.551,-238.114,0,"95.5494",0,0,11652.9,2.59126,"0.0436863",1720.77,0.382905,"11.3792"
"8",2,"het","A2","5",1,"0:05:00-0:10:00",899.495,2.99963,"31.0904",194.198,162,624.435,-472.163,-1.26403e-16,"8388.19",44,134.401,3875.36,0.861382,"1.07637",63645.7,14.1498,"615.57"
"9",2,"het","A2","5",1,"0:10:00-0:15:00",352.655,1.17603,"7.17368",100.337,50,742.862,-587.659,3.47608e-17,"2008.12",0,0,11180,2.485,"0.11435",24841.1,5.52271,"119.538"
"10",2,"het","A2","5",1,"0:15:00-0:20:00",831.855,2.77284,"30.717",171.395,144,1050.59,-802.389,0.011773,"8898.75",29,94.3338,5741.32,1.27585,"1.18131",53678.4,11.9285,"474.588"
"11",2,"het","A2","5",1,"0:20:00-0:25:00",134.487,0.448487,"9.43364",21.0061,13,939.777,-730.653,-0.0117808,"2365.43",0,0,11778.2,2.61796,"0.0339458",7683.11,1.70812,"92.3149"
"12",2,"het","A2","5",1,"0:25:00-0:30:00",774.665,2.58335,"29.2666",141.925,101,752.325,-514.962,0.0121271,"7446.7",21,83.2671,5577.61,1.23974,"1.16129",52244.7,11.6151,"504.641"
"13",3,"hom","A3","5",1,"Start-0:05:00",1498.39,5.00351,"62.6944",262.733,81,1076.63,-1252.52,0.194002,"17434.9",3,2.40001,13943.9,3.10139,"0.283286",100575,22.3899,"950.186"
"14",3,"hom","A3","5",1,"0:05:00-0:10:00",989.512,3.29982,"29.4496",213.066,106,528.521,-564.515,0.00179495,"8133.93",22,64.467,8740.65,1.9428,"1.60883",68376,15.2014,"581.318"
"15",3,"hom","A3","5",1,"0:10:00-0:15:00",88.1769,0.294052,"2.65873",15.1364,17,742.186,-555.176,6.32015e-18,"710.833",0,0,11551.8,2.56763,"0.0238483",4857.96,1.08003,"33.0174"
"16",3,"hom","A3","5",1,"0:15:00-0:20:00",1195.76,3.98585,"39.485",236.795,97,723.107,-599.763,-2.00531e-16,"11645.6",7,11.9334,12434,2.7631,"0.741706",74383.7,16.5297,"588.863"
"17",3,"hom","A3","5",1,"0:20:00-0:25:00",146.761,0.489419,"3.50068",31.8062,31,541.908,-675.484,3.16007e-17,"954.899",0,0,13055.6,2.90188,"0.0125351",8597.5,1.9114,"45.5763"
"18",3,"hom","A3","5",1,"0:25:00-0:30:00",934.825,3.11745,"26.7567",226.325,118,458.209,-405.803,0.0189764,"8017.14",8,20.2001,11783.3,2.6191,"1.11",57656.1,12.8182,"445.837"
"19",4,"het","A4","5",1,"Start-0:05:00",177.557,0.592644,"5.81549",37.5335,31,451.794,-550.326,1.73998e-17,"1596.16",0,0,10631.3,2.36409,"0.514472",14193.3,3.15827,"145.919"
