fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,0,1.04215,0.0176276,0.183515,0.52,1,148.273,-205.768,0,0,1.7478,0.0042241,2.57741,0.0661304
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,1,41.2796,0.687994,8.95801,8.16,16,817.939,-430.23,3,8.16,1.55086,1.08539,105.613,2.32934
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,2,92.2659,1.53777,23.05,21.08,34,1079.41,-768.955,3,8.32,1.5619,1.13924,213.259,4.71573
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,3,126.007,2.10012,38.2331,28.28,45,1855.31,-1235.43,2,4.04,2.20521,0.782699,280.133,6.17487
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,4,159.765,2.66274,53.6003,34.68,45,2393.84,-1338.14,4,5.48,2.21273,1.10619,335.806,7.25611
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,5,85.9127,1.43188,20.3935,20.72,30,1838.27,-1401.58,3,17.36,0.997702,0.879966,206.984,4.86295
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,6,87.8154,1.46554,17.6511,22.68,34,817.925,-526.838,3,4.88,1.91934,1.02682,167.325,4.38674
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,7,154.523,2.57539,34.3497,41.72,42,1436.51,-886.658,0,0,3.11561,0.0523055,249.583,7.19367
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,8,100.532,1.67554,21.0949,20.8,31,823.124,-667.502,6,22.44,0.975324,1.12514,197.421,5.00995
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,9,67.9779,1.13448,12.7944,14.12,22,862.136,-499.565,8,30.92,0.408969,0.516556,142.17,3.6136
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,10,31.2145,0.520241,5.55957,7.64,13,445.988,-400.282,0,0,2.93817,0.153824,52.3053,1.55232
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,11,1.95657,0.0326531,0.177277,0,0,157.447,-157.447,0,0,2.84505,4.04742e-4,0.498821,0.0452632
