fish_id,Genotype,Position,Tray,Trial,Time,Bin,Dist_travelled_total,Dist_travelled_mean,Dist_travelled_var,Velocity_mean,Velocity_var,Time_moving_total,Freq_moving,Acceleration_max,Acceleration_min,Acceleration_var,Freq_in_middle,Time_in_middle_total,Time_in_middle_mean,Time_in_middle_var,Dist_to_middle_total,Dist_to_middle_mean,Dist_to_middle_var,Mobility_total,Mobility_mean,Mobility_var,Meander_total,Meander_mean,Meander_var,Heading_mean,Heading_var
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,0,1.04215,7.05106e-4,2.93623e-4,0.0176276,0.183515,0.52,1,148.273,-205.768,73.4884,0,0,0,0,2590.24,1.7478,0.0042241,97.7408,0.0661304,2.57741,33.8886,33.8886,0,117.812,441.611
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,1,41.2796,0.0275198,0.0143328,0.687994,8.95801,8.16,16,817.939,-430.23,5223.49,3,8.16,2.72,8.9968,2326.29,1.55086,1.08539,3494.01,2.32934,105.613,2860.66,62.1883,10409.3,100.687,3055.8
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,2,92.2659,0.0615106,0.0368799,1.53777,23.05,21.08,34,1079.41,-768.955,12667.7,3,8.32,2.77333,6.45493,2342.86,1.5619,1.13924,7073.59,4.71573,213.259,4537.41,51.5615,19608.9,74.652,2928.37
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,3,126.007,0.0840047,0.061173,2.10012,38.2331,28.28,45,1855.31,-1235.43,19431.2,2,4.04,2.02,0.98,3307.82,2.20521,0.782699,9262.3,6.17487,280.133,3761.85,30.8348,2409.86,156.63,3029.17
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,4,159.765,0.10651,0.0857605,2.66274,53.6003,34.68,45,2393.84,-1338.14,30108.1,4,5.48,1.37,3.41693,3319.1,2.21273,1.10619,10884.2,7.25611,335.806,6225.08,44.7848,16455.8,15.712,3174.51
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,5,85.9127,0.0572752,0.0326296,1.43188,20.3935,20.72,30,1838.27,-1401.58,13926.3,3,17.36,5.78667,67.1685,1496.55,0.997702,0.879966,7294.43,4.86295,206.984,4197.65,48.2489,2462.78,121.647,3097.16
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,6,87.8154,0.0586218,0.0282417,1.46554,17.6511,22.68,34,817.925,-526.838,11942.4,3,4.88,1.62667,1.00053,2877.09,1.91934,1.02682,6571.34,4.38674,167.325,6243.7,69.3744,24569.6,137.381,2923.56
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,7,154.523,0.103016,0.0549595,2.57539,34.3497,41.72,42,1436.51,-886.658,24464.8,0,0,0,0,4673.41,3.11561,0.0523055,10790.5,7.19367,249.583,8972.73,52.1671,11746.1,38.3143,2911.27
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,8,100.532,0.0670216,0.0337518,1.67554,21.0949,20.8,31,823.124,-667.502,11850.6,6,22.44,3.74,6.2392,1462.99,0.975324,1.12514,7514.93,5.00995,197.421,5460.62,48.7556,15120.7,175.947,2973.57
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,9,67.9779,0.0453791,0.0204711,1.13448,12.7944,14.12,22,862.136,-499.565,8453.57,8,30.92,3.865,11.3033,613.045,0.408969,0.516556,5413.18,3.6136,142.17,2535.15,32.5019,1120,97.2075,3201.45
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,10,31.2145,0.0208096,0.00889532,0.520241,5.55957,7.64,13,445.988,-400.282,3310.87,0,0,0,0,4407.25,2.93817,0.153824,2328.48,1.55232,52.3053,3933.52,98.338,31052.3,43.3965,2152.97
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,11,1.95657,0.00130612,2.83643e-4,0.0326531,0.177277,0,0,157.447,-157.447,223.079,0,0,0,0,4264.72,2.84505,4.04742e-4,67.8043,0.0452632,0.498821,0,0,0,47.9826,2919.18
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,12,13.6363,0.00909088,0.00785316,0.227272,4.90822,1.88,3,954.5,-941.301,3481.65,0,0,0,0,4253.97,2.83598,0.00607142,777.693,0.518462,28.2774,240.336,48.0671,782.037,127.22,2870.79
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,13,3.9874,0.00266182,7.95334e-4,0.0665454,0.497084,0.52,1,379.25,-379.25,627.313,0,0,0,0,4087.24,2.72664,0.00724852,228.812,0.152745,5.74128,0,0,0,165.339,2969.97
1.2-6.10,wt,A1,5,1,1899-12-31T07:00:00Z,14,2.15245,0.00143496,3.48381e-4,0.0358741,0.217738,0,0,203.412,-203.412,273.783,0,0,0,0,3746.84,2.49789,0.0072792,112.191,0.0747941,1.71267,0,0,0,132.116,2167.77
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,0,1.89652,0.00127027,3.08823e-4,0.0317569,0.193014,0,0,209.118,-209.118,242.855,0,0,0,0,4570.1,3.05488,6.28238e-4,310.952,0.208273,8.22695,0,0,0,89.1947,3263.62
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,1,3.29819,0.0021988,5.26173e-4,0.0549699,0.328858,0,0,192.741,-192.741,414.852,0,0,0,0,4598.76,3.06584,0.00318291,399.498,0.266332,8.48291,0,0,0,38.1985,3218.33
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,2,0.941095,6.27396e-4,1.48789e-4,0.0156849,0.0929934,0,0,165.226,-165.226,116.549,0,0,0,0,4659.15,3.1061,0.00150963,86.4454,0.0576302,1.54246,0,0,0,118.661,2772.5
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,3,10.3742,0.00692534,0.00396181,0.173134,2.47613,2.16,5,586.949,-747.782,1809.68,1,6.56,6.56,0,3600.48,2.40192,1.63853,809.65,0.540487,25.9238,449.569,64.2241,2111.78,121.706,1930.19
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,4,91.941,0.061294,0.0423381,1.53235,26.4613,19.28,32,1111.82,-691.531,12902.7,3,17.12,5.70667,8.11893,1879.87,1.25324,1.0524,7156.65,4.7711,248.043,1699.27,19.3099,601.791,57.8848,3216.95
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,5,91.5786,0.0610524,0.0404677,1.52631,25.2923,21.52,26,1496.65,-1160.49,16676.1,4,7.36,1.84,1.15307,2375.6,1.58373,1.10878,6960.06,4.64004,208.048,5747.61,70.9581,22452,177.566,3057.42
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,6,80.0973,0.0535409,0.0286689,1.33852,17.9181,19.68,24,931.423,-702.086,10772.9,2,2.68,1.34,0.6728,3315.66,2.21339,0.99919,6310.58,4.2183,185.19,6312.43,69.3673,18780.7,33.7535,2706.47
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,7,98.564,0.0657093,0.036595,1.64273,22.8719,21.84,36,942.818,-660.697,13106.9,5,14.88,2.976,10.0325,2391.98,1.59465,1.38252,7473.94,4.98263,221.769,6277.76,58.6707,13692.8,162.183,3179.55
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,8,80.2949,0.0535299,0.0266502,1.33825,16.6564,17.84,28,690.261,-499.241,10291,2,14.68,7.34,59.6232,2648.89,1.76592,1.53866,6096.42,4.06428,172.226,4466.58,54.4705,16089.3,104.444,2671.51
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,9,92.1402,0.0614268,0.0275784,1.53567,17.2365,24.92,40,902.439,-539.691,11931,3,12.48,4.16,5.9056,2888.57,1.92572,1.6656,6691.61,4.46107,153.369,6134.07,60.138,19700.8,64.0927,2997.77
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,11,0.449914,3.00343e-4,6.75856e-5,0.00750858,0.042241,0,0,145.003,-145.003,52.9071,0,0,0,0,4409.35,2.94153,3.40458e-5,16.3994,0.0109475,0.0937432,0,0,0,100.187,3141.02
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,12,1.81637,0.00121091,2.77751e-4,0.0302728,0.173595,0,0,182.165,-182.165,218.14,0,0,0,0,4582.18,3.05479,0.00141555,76.0988,0.0507325,0.560661,0,0,0,115.717,3042.53
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,13,2.27685,0.0015179,3.45635e-4,0.0379475,0.216022,0,0,161.795,-161.795,271.828,0,0,0,0,4678.05,3.1187,0.00462187,108.499,0.072333,0.931628,0,0,0,39.7371,2676.29
1.2-6.10,wt,A1,5,4,1899-12-31T08:12:00Z,14,3.38891,0.00226229,6.12746e-4,0.0565573,0.382966,0.48,1,238.12,-181.327,284.871,0,0,0,0,4292.08,2.8633,0.0525355,193.094,0.128901,2.48346,66.1603,16.5401,122.81,10.1972,475.348
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,0,0.210901,1.4126e-4,2.97918e-5,0.0035315,0.018619900000000002,0,0,131.813,-131.813,23.3217,0,0,0,0,4507.1,3.01277,0.00159462,22.2222,0.0148843,0.330762,0,0,0,114.725,0
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,2,0.494591,3.29727e-4,8.33601e-5,0.00824318,0.0521,0,0,177.986,-177.986,65.21,0,0,0,0,4631.16,3.08744,0.00651933,16.6802,0.0111202,0.095887,0,0,0,90.8723,28.9262
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,3,8.0998,0.00539986,0.00313591,0.134997,1.95994,1.16,1,974.049,-619.364,1479.05,0,0,0,0,3696.6,2.4644,1.12952,585.623,0.390415,16.4654,673.388,84.1734,9720.02,156.208,1885.8
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,4,1.22734,8.18227e-4,2.07936e-4,0.0204557,0.12996,0,0,211.352,-211.352,162.973,0,0,0,0,714.077,0.476051,0.013552,49.7496,0.0331664,0.507606,0,0,0,12.8709,1419.49
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,5,83.7326,0.0558963,0.0281722,1.39741,17.6076,23.52,33,1507.36,-680.873,13585.7,8,17.36,2.17,1.62686,1072.72,0.715625,0.656671,6997.16,4.671,192.26,5738.41,66.7257,10024.1,168.404,3187.48
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,6,67.0366,0.0446911,0.0188091,1.11728,11.7557,19.76,26,934.863,-479.348,8468.44,4,11.32,2.83,2.90707,1961.8,1.30787,1.19968,5147.37,3.43158,121.303,3819.36,46.0164,3303.05,141.776,3151.06
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,7,62.8989,0.0419326,0.0227824,1.04831,14.239,14.2,20,1095.18,-778.185,8552.77,3,16.2,5.4,9.3904,1817.65,1.21177,1.43834,4795.52,3.19702,134.966,4616.11,64.1127,20867.8,0.0843109,3001.55
